product_name @ features @ price @ link
Μικρόφωνο Gembird Desktop MIC-205 MαύροGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@4,98@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-gembird-desktop-mic-205-mayro/prod7350407pp/
Ακουστικά Κεφαλής Logitech H600 HeadsetLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH@79,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-logitech-h600-headset/prod1870096pp/
Razer Hammerhead v2 Pro - Ακουστικά ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, PS4, Xbox One, Smartphone@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-hammerhead-v2-pro-akoystika-mayro/prod8211070pp/
Asus Cerberus V2 - Gaming Headset ΚόκκινοASUS GAMING@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones / Tablets@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/asus-cerberus-v2-gaming-headset-kokkino/prod8830391pp/
Gaming Headset Corsair HS60 7.1 Surround ΛευκόCORSAIR@Εγγύηση:  24 μήνες-Κατασκευαστής: CORSAIR@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-hs60-71-surround-leyko/prod9020292pp/
Logitech G233 Prodigy Wired Gaming Headset ΜαύροLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Gaming@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g233-prodigy-wired-gaming-headset-mayro/prod8700726pp/
Turtle Beach Ear Force Recon 150 - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones / Tablets@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-ear-force-recon-150-gaming-headset-mayro/prod8830386pp/
Creative Sound BlasterX H5 Tournament Edition - Gaming Headset Μα...CREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blasterx-h5-tournament-edition-gaming-headset-mayro/prod8430880pp/
Turtle Beach Ear Force PX24 - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  12 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones, Tablets@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-ear-force-px24-gaming-headset-mayro/prod7850129pp/
Gaming Headset - Corsair VOID PRO Surround 7.1 - ΚόκκινοCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-surround-71-kokkino/prod8840110pp/
Turtle Beach Ear Force Recon 320 - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  12 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: PC@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-ear-force-recon-320-gaming-headset-mayro/prod7850665pp/
Gaming Headset - Corsair VOID PRO Surround 7.1 - CarbonCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@89,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-surround-71-carbon/prod8840111pp/
Gaming Headset - Corsair VOID PRO RGB USB 7.1 - ΛευκόCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-rgb-usb-71-leyko/prod8840113pp/
Turtle Beach Stealth 600P - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ασύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stealth-600p-gaming-headset-mayro/prod8830387pp/
SteelSeries Arctis 3 - Gaming Headset ΚόκκινοSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-3-gaming-headset-kokkino/prod8800273pp/
Roccat Khan Pro - Gaming Headset ΜαύροROCCAT@Εγγύηση:  12 μήνες-Κατασκευαστής: ROCCAT@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/roccat-khan-pro-gaming-headset-mayro/prod8762099pp/
Turtle Beach Stream Mic - Μικρόφωνο USBTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Συμβατότητα: Gaming, Blogging, Youtube@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stream-mic-mikrofono-usb/prod8293445pp/
SteelSeries Arctis 3 - Gaming Headset ΓκριSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-3-gaming-headset-gkri/prod8800275pp/
Turtle Beach Stealth 600X - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ασύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Xbox One@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stealth-600x-gaming-headset-mayro/prod8830389pp/
Gaming Headset - Razer Kraken Pro V2 Analog - ΛευκόRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-razer-kraken-pro-v2-analog-leyko/prod8860244pp/
HyperX Cloud ΙΙ Pro Gun Metal - Gaming Headset Μαύρο/ΓκριHYPERX@Εγγύηση:  24 μήνες-Κατασκευαστής: HYPERX@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/hyperx-cloud-ii-pro-gun-metal-gaming-headset-mayrogkri/prod8957624pp/
SteelSeries Arctis 3 - Gaming Headset ΜπλεSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-3-gaming-headset-mple/prod8800274pp/
HyperX Cloud ΙΙ Pro Red - Gaming Headset ΚόκκινοHYPERX@Εγγύηση:  24 μήνες-Κατασκευαστής: HYPERX@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/hyperx-cloud-ii-pro-red-gaming-headset-kokkino/prod8957625pp/
Gaming Headset - Corsair VOID PRO RGB USB 7.1 - CarbonCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-rgb-usb-71-carbon/prod8840112pp/
HyperX Cloud Alpha Pro - Gaming Headset ΜαύροHYPERX@Εγγύηση:  24 μήνες-Κατασκευαστής: HYPERX@99,99@https://www.public.gr/product/gaming/pc-controllers/audio/hyperx-cloud-alpha-pro-gaming-headset-mayro/prod9020290pp/
Turtle Beach Stealth 450 - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  12 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ασύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@104,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stealth-450-gaming-headset-mayro/prod7850667pp/
Razer Seiren X - Επαγγελματικό Μικρόφωνο USBRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Συμβατότητα: Gaming, Blogging, Youtube@109,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-seiren-x-epaggelmatiko-mikrofono-usb/prod8860436pp/
Razer Hammerhead iOS - Ακουστικά ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Μικρόφωνο: Lightning-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Apple iPhone, iPod, iPad με βύσμα lightning@109,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-hammerhead-ios-akoystika-mayro/prod8610339pp/
Razer Kraken Pro V2 Analog PewDiePie BRO Edition - Gaming Headset...RAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER@109,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-kraken-pro-v2-analog-pewdiepie-bro-edition-gaming-headset-kokkinomayro/prod8953870pp/
Razer Kraken 7.1 V2 Oval Chroma - Gaming Headset ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@109,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-kraken-71-v2-oval-chroma-gaming-headset-mayro/prod8900422pp/
Razer Hammerhead BT - Ακουστικά Bluetooth ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ασύρματη-Μικρόφωνο: Bluetooth-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Smartphones με Bluetooth@109,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-hammerhead-bt-akoystika-bluetooth-mayro/prod8610338pp/
Gaming Headset - Corsair VOID PRO RGB Wireless 7.1 - CarbonCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@119,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-rgb-wireless-71-carbon/prod8840114pp/
Μικρόφωνο Trust GXT 252 & Emita - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Jack 3.5mm-Μικρόφωνο: Ναι-Συμβατότητα: Ψυχαγωγία@119,99@https://www.public.gr/product/gaming/pc-controllers/audio/mikrofono-trust-gxt-252-and-emita-mayro/prod8960620pp/
Gaming Headset - Corsair VOID PRO RGB Wireless 7.1 - ΛευκόCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@119,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-rgb-wireless-71-leyko/prod8840115pp/
SteelSeries Arctis 5 - Gaming Headset ΛευκόSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@129,98@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-5-gaming-headset-leyko/prod8562587pp/
SteelSeries Arctis 5 - Gaming Headset ΜαύροSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@129,98@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-5-gaming-headset-mayro/prod8562586pp/
Μικρόφωνο Trust GXT 252 & Emita Plus - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Jack 3.5mm-Μικρόφωνο: Ναι-Συμβατότητα: Ψυχαγωγία@129,99@https://www.public.gr/product/gaming/pc-controllers/audio/mikrofono-trust-gxt-252-and-emita-plus-mayro/prod8960497pp/
HyperX Cloud Revolver - Gaming Headset ΜαύροHYPERX@Εγγύηση:  24 μήνες-Κατασκευαστής: HYPERX@129,99@https://www.public.gr/product/gaming/pc-controllers/audio/hyperx-cloud-revolver-gaming-headset-mayro/prod8957626pp/
Logitech G433 7.1 Surround Trip Gaming Headset - Ακουστικά κεφαλή...LOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: Gaming@134,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g433-71-surround-trip-gaming-headset-akoystika-kefalis-me-mikrofono-mple/prod8700729pp/
Logitech G433 7.1 Surround Trip Gaming Headset - Ακουστικά κεφαλή...LOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: Gaming@134,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g433-71-surround-trip-gaming-headset-akoystika-kefalis-me-mikrofono-kokkino/prod8700727pp/
Logitech G433 7.1 Surround Trip Gaming Headset - Ακουστικά κεφαλή...LOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: Gaming@134,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g433-71-surround-trip-gaming-headset-akoystika-kefalis-me-mikrofono-mayro/prod8700728pp/
Ηχεία 5.1 Trust GXT 658 Tytan Surround Speaker System ΜαύροTRUST@Εγγύηση:  12 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Συμβατότητα: PC, Wii, Sony PlayStation 3, Xbox 360@139,98@https://www.public.gr/product/gaming/pc-controllers/audio/iheia-51-trust-gxt-658-tytan-surround-speaker-system-mayro/prod8564669pp/
Gaming Headset - Corsair VOID PRO RGB Wireless 7.1 - ΚίτρινοCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@140,00@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-void-pro-rgb-wireless-71-kitrino/prod8840116pp/
Razer Tiamat 2.2 V2 - Gaming Headset ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC, PS4, Xbox One@140,00@https://www.public.gr/product/gaming/pc-controllers/audio/razer-tiamat-22-v2-gaming-headset-mayro/prod8723136pp/
Asus Strix Fusion 300 - Gaming Headset ΜαύροASUS GAMING@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones / Tablets@140,00@https://www.public.gr/product/gaming/pc-controllers/audio/asus-strix-fusion-300-gaming-headset-mayro/prod8830392pp/
Asus ROG Strix Wireless 7.1 - Gaming Headset ΜαύροASUS@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ασύρματη, ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: 7.1 Surround ( Developed with Bongiovi Acoustics)-Συμβατότητα: PC@140,00@https://www.public.gr/product/gaming/pc-controllers/audio/asus-rog-strix-wireless-71-gaming-headset-mayro/prod8500276pp/
Turtle Beach Stealth 700P - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ασύρματη-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: PS4@149,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stealth-700p-gaming-headset-mayro/prod8830388pp/
Logitech G533 7.1 Wireless Gaming Headset - Ακουστικά κεφαλής με ...LOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ασύρματη - USB-Μικρόφωνο: Ναι-Έξοδος Ήχου: Ήχος surround 7.1 καναλιών-Συμβατότητα: Gaming@149,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g533-71-wireless-gaming-headset-akoystika-kefalis-me-mikrofono-mayro/prod8542710pp/
SteelSeries Arctis 3 Bluetooth Gaming Headset ΜαύροSTEELSERIES@Εγγύηση:  24 μήνες-Κατασκευαστής: STEELSERIES-Σύνδεση: Ασύρματη - Bluetooth-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: 7.1 Surround, Stereo-Συμβατότητα: PC, Mac, Xbox One, PS4, Nintendo Switch, Smartphones, Tablets@149,99@https://www.public.gr/product/gaming/pc-controllers/audio/steelseries-arctis-3-bluetooth-gaming-headset-mayro/prod8970631pp/
Ηχεία 2.1 Trust GXT 668 Tytan Soundbar Speaker Set ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Συμβατότητα: PC, laptop, TV, smartphone & tablet@149,99@https://www.public.gr/product/gaming/pc-controllers/audio/iheia-21-trust-gxt-668-tytan-soundbar-speaker-set-mayro/prod8960496pp/
Turtle Beach Stealth 700X - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ασύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Xbox One@149,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-stealth-700x-gaming-headset-mayro/prod8830390pp/
Razer Thresher 7.1 Wireless Surround PS4 - Gaming Headset ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ασύρματη-Μικρόφωνο: USB-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PS4@169,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-thresher-71-wireless-surround-ps4-gaming-headset-mayro/prod8860440pp/
Razer Seiren Elite - Επαγγελματικό Μικρόφωνο USBRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Συμβατότητα: Gaming, Blogging, Youtube@219,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-seiren-elite-epaggelmatiko-mikrofono-usb/prod8957921pp/
Razer Tiamat 7.1 V2 - Gaming Headset ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@239,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-tiamat-71-v2-gaming-headset-mayro/prod8723137pp/
Turtle Beach Elite Pro Tournament Headset - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Jack 3.5mm-Μικρόφωνο: Πολυκατευθυντικό αποσπώμενο-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, PS4, Xbox One@249,98@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-elite-pro-tournament-headset-gaming-headset-mayro/prod8293439pp/
ASTRO A40 TR & MixAmp Pro TR - Gaming Headset ΜαύροASTRO@Εγγύηση:  12 μήνες-Κατασκευαστής: ASTRO-Σύνδεση: Ενσύρματη-Μικρόφωνο: Μονοκατευθυντικό-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC, PS4@284,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a40-tr-and-mixamp-pro-tr-gaming-headset-mayro/prod8273833pp/
ASTRO A40 TR & MixAmp Pro TR - Gaming Headset ΛευκόASTRO@Εγγύηση:  12 μήνες-Κατασκευαστής: ASTRO-Σύνδεση: Ενσύρματη-Μικρόφωνο: Μονοκατευθυντικό-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC, Xbox One@284,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a40-tr-and-mixamp-pro-tr-gaming-headset-leyko/prod8273834pp/
Asus ROG Centurion 7.1 - Gaming Headset ΜαύροASUS@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@299,99@https://www.public.gr/product/gaming/pc-controllers/audio/asus-rog-centurion-71-gaming-headset-mayro/prod8500279pp/
